Address,Rooms,Type,Price,Method,SellerG,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount
22535.0,2,0.0,910000.0,6.0,142.0,2.5,3067.0,2.0,1.0,1.0,126.0,136.0,1965.280723201647,31.0,-37.8014,144.9958,2.0,4019.0
25003.0,2,0.0,1480000.0,2.0,28.0,2.5,3067.0,2.0,1.0,1.0,202.0,136.0,1965.280723201647,31.0,-37.7996,144.9984,2.0,4019.0
11492.0,2,0.0,1035000.0,2.0,28.0,2.5,3067.0,2.0,1.0,0.0,156.0,79.0,1900.0,31.0,-37.8079,144.9934,2.0,4019.0
7428.0,3,2.0,910000.0,7.0,279.0,2.5,3067.0,3.0,2.0,1.0,0.0,136.0,1965.280723201647,31.0,-37.8114,145.0116,2.0,4019.0
19079.0,3,0.0,1465000.0,5.0,28.0,2.5,3067.0,3.0,2.0,0.0,134.0,150.0,1900.0,31.0,-37.8093,144.9944,2.0,4019.0
17458.0,3,0.0,850000.0,0.0,28.0,2.5,3067.0,3.0,2.0,1.0,94.0,136.0,1965.280723201647,31.0,-37.7969,144.9969,2.0,4019.0
20599.0,4,0.0,1600000.0,7.0,213.0,2.5,3067.0,3.0,1.0,2.0,120.0,142.0,2014.0,31.0,-37.8072,144.9941,2.0,4019.0
6253.0,4,0.0,910000.0,4.0,213.0,2.5,3067.0,3.0,2.0,2.0,400.0,220.0,2006.0,31.0,-37.7965,144.9965,2.0,4019.0
20338.0,2,0.0,910000.0,2.0,28.0,2.5,3067.0,4.0,1.0,2.0,201.0,136.0,1900.0,31.0,-37.7995,144.9974,2.0,4019.0
26198.0,2,0.0,910000.0,2.0,67.0,2.5,3067.0,3.0,2.0,1.0,202.0,136.0,1900.0,31.0,-37.7996,144.9989,2.0,4019.0
4095.0,2,0.0,941000.0,2.0,142.0,2.5,3067.0,2.0,1.0,0.0,181.0,136.0,1965.280723201647,31.0,-37.8041,144.9953,2.0,4019.0
3988.0,3,0.0,1876000.0,2.0,213.0,2.5,3067.0,4.0,2.0,0.0,245.0,210.0,1910.0,31.0,-37.8024,144.9993,2.0,4019.0
3905.0,2,2.0,910000.0,0.0,28.0,2.5,3067.0,2.0,2.0,1.0,4292.0,82.0,2009.0,31.0,-37.8078,144.9965,2.0,4019.0
6810.0,4,0.0,910000.0,8.0,28.0,2.5,3067.0,6.0,2.0,0.0,230.0,147.0,1860.0,31.0,-37.8066,144.9936,2.0,4019.0
